release_date,production_cost,domestic_gross,worldwide_gross,opening_weekend,genre
2017,150.0M,190.1M,518.1M,30.3M,Action
2017,180.0M,40.5M,215.1M,29.8M,Adventure
2017,185.0M,92.1M,258.8M,15.0M,Thriller/Suspense
2017,180.0M,315.1M,850.5M,114.7M,Action
2017,175.0M,210.5M,797.7M,63.1M,Musical
2017,300.0M,229.0M,655.9M,43.7M,Action
2017,262.0M,620.2M,"1,331.6M",220.0M,Adventure
2018,200.0M,700.1M,"1,336.5M",202.0M,Action
2018,155.0M,59.9M,290.9M,43.6M,Action
2018,150.0M,137.7M,579.1M,33.5M,Adventure
2018,300.0M,678.8M,"2,048.4M",257.7M,Action
2018,275.0M,213.8M,393.2M,24.8M,Adventure
2018,170.0M,417.7M,"1,308.3M",23.3M,Action
2018,200.0M,608.6M,"1,242.8M",182.7M,Adventure
2018,178.0M,220.2M,787.2M,9.7M,Action
2018,178.0M,145.4M,527.4M,55.0M,Action
2018,200.0M,159.6M,648.5M,57.8M,Adventure
2018,175.0M,201.1M,529.3M,70.4M,Adventure
2018,160.0M,335.1M,"1,143.8M",116.1M,Action
2019,170.0M,85.8M,401.9M,57.2M,Action
2019,175.0M,426.8M,"1,129.7M",133.7M,Action
2019,170.0M,114.8M,353.2M,41.3M,Adventure
2019,400.0M,858.4M,"2,797.8M",357.1M,Action
2019,150.0M,144.1M,431.3M,38.0M,Adventure
2019,182.0M,355.6M,"1,046.6M",50.1M,Adventure
2019,170.0M,110.5M,383.3M,36.1M,Action
2019,200.0M,65.8M,246.4M,122.7M,Action
2019,200.0M,434.0M,"1,073.1M",120.9M,Adventure
2019,160.0M,390.5M,"1,132.5M",97.4M,Action
2019,260.0M,543.6M,"1,647.8M",191.8M,Adventure
2019,200.0M,174.0M,760.4M,65.1M,Action
2019,185.0M,113.9M,489.3M,11.4M,Adventure
2019,185.0M,62.3M,250.4M,21.7M,Action
2019,150.0M,477.4M,"1,445.2M",77.2M,Adventure
2019,275.0M,515.2M,"1,072.8M",177.4M,Adventure
2020,175.0M,77.0M,251.4M,60.3M,Adventure
2020,200.0M,61.6M,133.3M,3.8M,Adventure
2020,205.0M,58.5M,362.5M,125.0M,Action
2020,200.0M,46.8M,166.4M,158.4M,Action
2021,155.0M,100.9M,468.1M,12.7M,Action
2021,200.0M,173.0M,721.1M,67.5M,Action
2021,200.0M,183.7M,379.8M,14.8M,Action
2021,150.0M,70.6M,144.0M,25.5M,Comedy
2021,200.0M,117.0M,210.4M,68.7M,Adventure
2021,185.0M,55.8M,167.1M,33.1M,Action
2021,150.0M,224.5M,432.2M,50.1M,Action
2021,165.0M,108.3M,397.7M,70.5M,Action
2021,250.0M,160.9M,760.0M,27.0M,Action
2021,200.0M,164.9M,402.1M,55.2M,Action
2021,150.0M,96.1M,230.9M,30.1M,Adventure
2021,200.0M,814.1M,"1,912.8M",260.1M,Action
2021,190.0M,37.7M,156.5M,31.0M,Action
2022,150.0M,19.1M,59.0M,55.8M,Action
2022,200.0M,369.3M,767.8M,68.1M,Action
2022,175.0M,2.1M,11.0M,0.2M,Adventure
2022,200.0M,95.9M,404.6M,103.3M,Adventure
2022,200.0M,411.3M,952.2M,187.4M,Action
2022,170.0M,715.3M,"1,478.8M",72.6M,Action
2022,165.0M,376.0M,"1,001.2M",88.2M,Action
2022,200.0M,118.3M,218.6M,26.2M,Adventure
2022,250.0M,343.3M,745.5M,75.4M,Action
